Date,countrie,TotalDeaths,SeriousCases,TotalCases
2021-06-29T03:34:33.896Z,World,182192485,3945316,80394
2021-06-29T03:34:32.036Z,USA,34511636,619595,3836
2021-06-29T03:34:14.299Z,India,30316000,397668,8944
2021-06-29T03:34:04.983Z,Brazil,18448402,514202,8318
2021-06-29T03:34:10.796Z,France,5770530,111012,1304
2021-06-29T03:34:24.347Z,Russia,5472941,133893,2300
2021-06-29T03:34:31.224Z,Turkey,5414310,49634,751
2021-06-29T03:34:31.832Z,United Kingdom,4755078,128103,257
2021-06-29T03:34:01.980Z,Argentina,4423636,93142,6869
2021-06-29T03:34:15.365Z,Italy,4258456,127500,289
2021-06-29T03:34:07.038Z,Colombia,4187194,105326,8155
2021-06-29T03:34:27.741Z,Spain,3792642,80789,644
2021-06-29T03:34:11.919Z,Germany,3734812,91336,736
2021-06-29T03:34:14.627Z,Iran,3180092,83985,3185
2021-06-29T03:34:23.769Z,Poland,2879689,74979,163
2021-06-29T03:34:19.998Z,Mexico,2507453,232608,4798
2021-06-29T03:34:32.325Z,Ukraine,2234281,52295,177
2021-06-29T03:34:14.468Z,Indonesia,2135998,57561,0
2021-06-29T03:34:23.490Z,Peru,2048115,191899,2421
2021-06-29T03:34:27.460Z,South Africa,1941119,60038,546
2021-06-29T03:34:21.650Z,Netherlands,1683828,17741,153
2021-06-29T03:34:08.155Z,Czechia,1666947,30298,7
2021-06-29T03:34:06.737Z,Chile,1551137,32454,3050
2021-06-29T03:34:06.154Z,Canada,1414134,26238,466
2021-06-29T03:34:23.628Z,Philippines,1403588,24456,1957
2021-06-29T03:34:14.770Z,Iraq,1332046,17121,577
2021-06-29T03:34:28.891Z,Sweden,1088896,14584,55
2021-06-29T03:34:03.576Z,Belgium,1082476,25160,175
2021-06-29T03:34:24.198Z,Romania,1080667,33311,86
2021-06-29T03:34:22.768Z,Pakistan,955657,22231,1961
2021-06-29T03:34:03.145Z,Bangladesh,896770,14276,1192
2021-06-29T03:34:23.913Z,Portugal,875449,17086,115
2021-06-29T03:34:15.211Z,Israel,841196,6430,22
2021-06-29T03:34:13.983Z,Hungary,808042,29989,24
2021-06-29T03:34:15.668Z,Japan,795756,14669,564
2021-06-29T03:34:15.812Z,Jordan,750389,9737,470
2021-06-29T03:34:18.624Z,Malaysia,739266,5001,899
2021-06-29T03:34:26.198Z,Serbia,716385,7039,13
2021-06-29T03:34:29.715Z,Switzerland,702746,10885,48
2021-06-29T03:34:02.568Z,Austria,650324,10701,59
2021-06-29T03:34:21.506Z,Nepal,635188,9051,0
2021-06-29T03:34:31.511Z,UAE,628976,1802,0
2021-06-29T03:34:16.864Z,Lebanon,544520,7845,54
2021-06-29T03:34:20.922Z,Morocco,529895,9283,131
2021-06-29T03:34:25.899Z,Saudi Arabia,484539,7789,1438
2021-06-29T03:34:09.306Z,Ecuador,455743,21523,437
2021-06-29T03:34:04.289Z,Bolivia,435568,16631,200
2021-06-29T03:34:05.282Z,Bulgaria,421646,18040,186
2021-06-29T03:34:12.390Z,Greece,421266,12663,215
2021-06-29T03:34:15.970Z,Kazakhstan,419800,4316,221
2021-06-29T03:34:23.336Z,Paraguay,419764,12641,532
2021-06-29T03:34:03.441Z,Belarus,415780,3122,0
2021-06-29T03:34:31.079Z,Tunisia,408931,14737,526
2021-06-29T03:34:23.055Z,Panama,401332,6529,84
2021-06-29T03:34:26.913Z,Slovakia,391566,12509,30
2021-06-29T03:34:32.476Z,Uruguay,366915,5524,285
2021-06-29T03:34:07.449Z,Costa Rica,364304,4648,434
2021-06-29T03:34:11.762Z,Georgia,363874,5275,0
2021-06-29T03:34:07.590Z,Croatia,359666,8202,10
2021-06-29T03:34:16.263Z,Kuwait,353133,1943,280
2021-06-29T03:34:02.708Z,Azerbaijan,335874,4970,0
2021-06-29T03:34:09.159Z,Dominican Republic,323650,3801,422
2021-06-29T03:34:22.915Z,Palestine,313851,3561,7
2021-06-29T03:34:08.579Z,Denmark,293094,2533,14
2021-06-29T03:34:12.974Z,Guatemala,291977,9089,5
2021-06-29T03:34:09.442Z,Egypt,280770,16125,90
2021-06-29T03:34:17.571Z,Lithuania,278689,4381,53
2021-06-29T03:34:10.210Z,Ethiopia,275974,4315,151
2021-06-29T03:34:14.923Z,Ireland,271589,4989,16
2021-06-29T03:34:32.771Z,Venezuela,269635,3068,331
2021-06-29T03:34:03.000Z,Bahrain,265477,1348,99
2021-06-29T03:34:22.624Z,Oman,264302,3013,506
2021-06-29T03:34:13.700Z,Honduras,260331,6922,609
2021-06-29T03:34:27.066Z,Slovenia,257252,4419,22
2021-06-29T03:34:20.150Z,Moldova,256614,6187,44
2021-06-29T03:34:27.890Z,Sri Lanka,255508,2985,0
2021-06-29T03:34:30.433Z,Thailand,254515,1970,1806
2021-06-29T03:34:02.140Z,Armenia,224851,4510,0
2021-06-29T03:34:24.056Z,Qatar,221810,588,53
2021-06-29T03:34:04.672Z,Bosnia and Herzegovina,204991,9658,0
2021-06-29T03:34:17.262Z,Libya,192786,3191,0
2021-06-29T03:34:07.736Z,Cuba,184943,1253,179
2021-06-29T03:34:16.116Z,Kenya,182884,3612,113
2021-06-29T03:34:22.342Z,Nigeria,167532,2119,11
2021-06-29T03:34:24.789Z,S. Korea,156167,2017,152
2021-06-29T03:34:18.181Z,North Macedonia,155676,5484,25
2021-06-29T03:34:21.222Z,Myanmar,154385,3309,0
2021-06-29T03:34:33.413Z,Zambia,149661,2091,1352
2021-06-29T03:34:01.059Z,Algeria,138840,3699,43
2021-06-29T03:34:16.701Z,Latvia,137240,2503,31
2021-06-29T03:34:00.861Z,Albania,132513,2456,3
2021-06-29T03:34:10.055Z,Estonia,130983,1269,5
2021-06-29T03:34:22.484Z,Norway,130744,792,9
2021-06-29T03:34:16.407Z,Kyrgyzstan,121946,1982,102
2021-06-29T03:34:00.684Z,Afghanistan,117158,4794,1124
2021-06-29T03:34:20.467Z,Mongolia,111505,533,126
2021-06-29T03:34:32.623Z,Uzbekistan,109692,731,23
2021-06-29T03:34:20.620Z,Montenegro,100204,1609,6
2021-06-29T03:34:12.093Z,Ghana,95476,795,9
2021-06-29T03:34:10.650Z,Finland,95168,969,5
2021-06-29T03:34:06.872Z,China,91771,4636,12
2021-06-29T03:34:21.362Z,Namibia,86649,1445,81
2021-06-29T03:34:06.008Z,Cameroon,80487,1320,152
2021-06-29T03:34:32.176Z,Uganda,79089,956,1211
2021-06-29T03:34:09.581Z,El Salvador,78766,2371,54
2021-06-29T03:34:21.078Z,Mozambique,75422,869,32
2021-06-29T03:34:08.015Z,Cyprus,75099,374,17
2021-06-29T03:34:18.775Z,Maldives,73482,209,90
2021-06-29T03:34:17.719Z,Luxembourg,70642,818,1
2021-06-29T03:34:04.846Z,Botswana,69680,1125,1
2021-06-29T03:34:26.619Z,Singapore,62553,36,3
2021-06-29T03:34:15.515Z,Jamaica,50054,1061,8
